Date,r_label,c_label
2012-07-23,0.0002976010637268309,1.0
2012-07-24,0.00030471903118783607,1.0
2012-07-25,0.00030827798097735434,1.0
2012-07-26,0.00030827798097735434,0.5
2012-07-27,0.0003153247741943069,1.0
2012-07-30,0.0003242933738236316,1.0
2012-07-31,0.0003314113073436524,1.0
2012-08-01,0.0003662891985622467,1.0
2012-08-02,0.00038194865230629254,1.0
2012-08-03,0.00037803379735552715,0.5
2012-08-06,0.0003865753515205365,1.0
2012-08-07,0.0003851517648165323,0.5
2012-08-08,0.0003851517648165323,0.5
2012-08-09,0.00039689632966882847,1.0
2012-08-10,0.0004200296560351266,1.0
2012-08-13,0.00042536813163088043,1.0
2012-08-14,0.00046309319625748306,1.0
2012-08-15,0.0004719906216427552,1.0
2012-08-16,0.0004036583919685865,0.0
2012-08-17,0.000350985649979448,0.0
2012-08-20,0.0003444015402603135,0.0
2012-08-21,0.00034055785955360067,0.5
2012-08-22,0.000350985649979448,1.0
2012-08-23,0.00036878046680900793,1.0
2012-08-24,0.00038123687592478265,1.0
2012-08-27,0.00038088097076353553,0.5
2012-08-28,0.0003801691943820256,0.5
2012-08-29,0.0003751866239475188,0.5
2012-08-30,0.00035312101306496206,0.0
2012-08-31,0.0003662891985622467,1.0
2012-09-03,0.00036095075690747714,0.0
2012-09-04,0.0003830163677900339,1.0
2012-09-05,0.0003894224909875605,1.0
2012-09-06,0.0003830163677900339,0.0
2012-09-07,0.0003890666197672977,1.0
2012-09-10,0.0003947609665833144,1.0
2012-09-11,0.00039582864812607145,1.0
2012-09-12,0.0003972522348300756,1.0
2012-09-13,0.00040686147053784193,1.0
2012-09-14,0.0004146911804393727,1.0
2012-09-17,0.00042750349471639456,1.0
2012-09-18,0.0004388921883484279,1.0
2012-09-19,0.0004285712102001359,0.0
2012-09-20,0.0004317742548284071,1.0
2012-09-21,0.000422165053061625,0.0
2012-09-24,0.00042572400285114325,1.0
2012-09-25,0.0004282153050388888,1.0
2012-09-26,0.00042963889174289294,1.0
2012-09-27,0.00043248606515090127,1.0
2012-09-28,0.0004328419703121484,0.5
2012-10-01,0.00044850142405619426,1.0
2012-10-02,0.00045028088198046127,1.0
2012-10-03,0.0004488573292174414,0.5
2012-10-04,0.0004431629824014247,0.5
2012-10-05,0.0004107763254886073,0.0
2012-10-08,0.00041504708560061984,1.0
2012-10-09,0.0004228768294431349,1.0
2012-10-10,0.0004196737848148638,0.5
2012-10-11,0.0004186060693311224,0.5
2012-10-12,0.00041291172251510576,0.5
2012-10-15,0.0004132675937353686,0.5
2012-10-16,0.0004118440070313644,0.5
2012-10-17,0.00041647067230462403,1.0
2012-10-18,0.0004093527387846032,0.0
2012-10-19,0.0004082850572418461,0.5
